step,epoch,time_s,loss,lr,grad_norm,vram_gb,peak_vram_gb,sec_per_step
1530,2,12205,0.053747,9.55e-05,0.0745,4.25,7.80,7.9
1540,2,12353,0.038103,9.55e-05,0.0434,4.25,7.80,8.0
1550,2,12428,0.037892,9.54e-05,0.0659,4.25,7.80,8.0
1560,2,12504,0.046890,9.53e-05,0.0702,4.25,7.80,8.0
1570,2,12579,0.048937,9.53e-05,0.0904,4.25,7.80,8.0
1580,2,12655,0.051473,9.52e-05,0.0612,4.25,7.80,8.0
1590,2,12730,0.038186,9.51e-05,0.0659,4.25,7.80,8.0
1600,2,12806,0.055452,9.50e-05,0.0788,4.25,7.80,8.0
1610,2,12882,0.062417,9.50e-05,0.0649,4.25,7.80,8.0
1620,2,12957,0.052195,9.49e-05,0.1007,4.25,7.80,8.0
1630,2,13033,0.044983,9.48e-05,0.0782,4.25,7.80,8.0
1640,2,13109,0.043801,9.48e-05,0.0679,4.25,7.80,8.0
1650,2,13184,0.056040,9.47e-05,0.0449,4.25,7.80,8.0
1660,2,13260,0.043128,9.46e-05,0.0634,4.25,7.80,8.0
1670,2,13338,0.053599,9.46e-05,0.0486,4.25,7.80,8.0
1680,2,13414,0.047290,9.45e-05,0.0864,4.25,7.80,8.0
1690,2,13490,0.035090,9.44e-05,0.0296,4.25,7.80,8.0
1700,2,13568,0.046402,9.43e-05,0.0769,4.25,7.80,8.0
1710,2,13644,0.041992,9.43e-05,0.0507,4.25,7.80,8.0
1720,2,13721,0.048300,9.42e-05,0.0803,4.25,7.80,8.0
1730,2,13799,0.036004,9.41e-05,0.0534,4.25,7.80,8.0
1740,2,13875,0.052932,9.40e-05,0.0500,4.25,7.80,7.9
1750,2,13952,0.042770,9.40e-05,0.0730,4.25,7.80,7.9
1760,2,14028,0.034140,9.39e-05,0.0434,4.25,7.80,7.9
1770,2,14103,0.029038,9.38e-05,0.0220,4.25,7.80,7.9
1780,2,14179,0.034217,9.37e-05,0.0496,4.25,7.80,7.9
1790,2,14255,0.040734,9.36e-05,0.0889,4.25,7.80,7.9
1800,2,14330,0.048818,9.36e-05,0.0704,4.25,7.80,7.9
1810,2,14406,0.056614,9.35e-05,0.0787,4.25,7.80,7.9
1820,2,14482,0.032546,9.34e-05,0.0482,4.25,7.80,7.9
1830,2,14557,0.047941,9.33e-05,0.0504,4.25,7.80,7.9
1840,2,14633,0.042137,9.32e-05,0.0502,4.25,7.80,7.9
1850,2,14709,0.046599,9.32e-05,0.0849,4.25,7.80,7.9
1860,3,14788,0.040344,9.31e-05,0.0592,4.25,7.80,7.9
1870,3,14863,0.037641,9.30e-05,0.0487,4.25,7.80,7.9
1880,3,14939,0.053327,9.29e-05,0.1230,4.25,7.80,7.9
1890,3,15014,0.034907,9.28e-05,0.0362,4.25,7.80,7.9
1900,3,15090,0.041776,9.28e-05,0.2297,4.25,7.80,7.9
1910,3,15166,0.053511,9.27e-05,0.1520,4.25,7.80,7.9
1920,3,15241,0.057360,9.26e-05,0.1376,4.25,7.80,7.9
1930,3,15317,0.054091,9.25e-05,0.1102,4.25,7.80,7.9
1940,3,15393,0.047799,9.24e-05,0.0877,4.25,7.80,7.9
1950,3,15471,0.043432,9.23e-05,0.0774,4.25,7.80,7.9
1960,3,15546,0.045171,9.23e-05,0.0543,4.25,7.80,7.9
1970,3,15622,0.046165,9.22e-05,0.0875,4.25,7.80,7.9
1980,3,15698,0.038103,9.21e-05,0.0458,4.25,7.80,7.9
1990,3,15773,0.033449,9.20e-05,0.0393,4.25,7.80,7.9
2000,3,15849,0.050429,9.19e-05,0.0618,4.25,7.80,7.9
2010,3,15926,0.043446,9.18e-05,0.0677,4.25,7.80,7.9
2020,3,16001,0.057904,9.17e-05,0.0646,4.25,7.80,7.9
2030,3,16077,0.034571,9.16e-05,0.0420,4.25,7.80,7.9
2040,3,16155,0.056404,9.16e-05,0.0447,4.25,7.80,7.9
2050,3,16230,0.048089,9.15e-05,0.0588,4.25,7.80,7.9
2060,3,16306,0.040938,9.14e-05,0.0391,4.25,7.80,7.9
2070,3,16382,0.041120,9.13e-05,0.0752,4.25,7.80,7.9
2080,3,16458,0.040008,9.12e-05,0.0531,4.25,7.80,7.9
2090,3,16534,0.050100,9.11e-05,0.0785,4.25,7.80,7.9
2100,3,16609,0.044193,9.10e-05,0.0613,4.25,7.80,7.9
2110,3,16685,0.034927,9.09e-05,0.0307,4.25,7.80,7.9
2120,3,16761,0.031720,9.08e-05,0.0409,4.25,7.80,7.9
2130,3,16836,0.034896,9.07e-05,0.0455,4.25,7.80,7.9
2140,3,16912,0.055800,9.06e-05,0.0563,4.25,7.80,7.9
2150,3,16988,0.042583,9.05e-05,0.0435,4.25,7.80,7.9
2160,3,17063,0.046716,9.05e-05,0.0576,4.25,7.80,7.9
2170,3,17139,0.032098,9.04e-05,0.0344,4.25,7.80,7.9
2180,3,17214,0.035912,9.03e-05,0.0588,4.25,7.80,7.9
2190,3,17290,0.042917,9.02e-05,0.0526,4.25,7.80,7.9
2200,3,17366,0.032036,9.01e-05,0.0479,4.25,7.80,7.9
2210,3,17445,0.062912,9.00e-05,0.2032,4.25,7.80,7.9
2220,3,17521,0.043088,8.99e-05,0.0703,4.25,7.80,7.9
2230,3,17598,0.039976,8.98e-05,0.0523,4.25,7.80,7.9
2240,3,17674,0.044649,8.97e-05,0.0936,4.25,7.80,7.9
2250,3,17750,0.038654,8.96e-05,0.0481,4.25,7.80,7.9
2260,3,17826,0.046168,8.95e-05,0.0640,4.25,7.80,7.9
2270,3,17902,0.031892,8.94e-05,0.0503,4.25,7.80,7.9
2280,3,17978,0.032933,8.93e-05,0.0480,4.25,7.80,7.9
2290,3,18054,0.054488,8.92e-05,0.1006,4.25,7.80,7.9
2300,3,18130,0.055338,8.91e-05,0.0939,4.25,7.80,7.9
2310,3,18205,0.037632,8.90e-05,0.0640,4.25,7.80,7.9
2320,3,18281,0.046097,8.89e-05,0.0429,4.25,7.80,7.9
2330,3,18357,0.033215,8.88e-05,0.0265,4.25,7.80,7.9
2340,3,18433,0.048409,8.87e-05,0.0770,4.25,7.80,7.9
2350,3,18510,0.042968,8.86e-05,0.0485,4.25,7.80,7.9
2360,3,18586,0.055294,8.85e-05,0.0678,4.25,7.80,7.9
2370,3,18662,0.030466,8.84e-05,0.0259,4.25,7.80,7.9
2380,3,18738,0.062534,8.83e-05,0.1028,4.25,7.80,7.9
2390,3,18814,0.051760,8.82e-05,0.1112,4.25,7.80,7.9
2400,3,18890,0.035727,8.81e-05,0.0331,4.25,7.80,7.9
2410,3,18966,0.043602,8.80e-05,0.0439,4.25,7.80,7.9
2420,3,19044,0.048838,8.79e-05,0.0282,4.25,7.80,7.9
2430,3,19203,0.033794,8.78e-05,0.0259,4.25,7.80,7.9
2440,3,19279,0.032350,8.77e-05,0.0771,4.25,7.80,7.9
2450,3,19355,0.054995,8.75e-05,0.1269,4.25,7.80,7.9
2460,3,19430,0.041164,8.74e-05,0.0407,4.25,7.80,7.9
2470,3,19508,0.034819,8.73e-05,0.0513,4.25,7.80,7.9
2480,3,19584,0.049123,8.72e-05,0.1238,4.25,7.80,7.9
2490,3,19661,0.039630,8.71e-05,0.0651,4.25,7.80,7.9
2500,3,19737,0.072899,8.70e-05,0.0635,4.25,7.80,7.9
2510,3,19813,0.039232,8.69e-05,0.0545,4.25,7.80,7.9
2520,3,19889,0.049387,8.68e-05,0.0799,4.25,7.80,7.9
2530,3,19965,0.054674,8.67e-05,0.0810,4.25,7.80,7.9
2540,3,20041,0.037843,8.66e-05,0.0652,4.25,7.80,7.9
2550,3,20117,0.047512,8.65e-05,0.0654,4.25,7.80,7.9
2560,3,20195,0.041957,8.64e-05,0.0519,4.25,7.80,7.9
2570,3,20276,0.037775,8.63e-05,0.0462,4.25,7.80,7.9
2580,3,20354,0.040875,8.61e-05,0.0332,4.25,7.80,7.9
2590,3,20430,0.054515,8.60e-05,0.0778,4.25,7.80,7.9
2600,3,20506,0.046006,8.59e-05,0.1152,4.25,7.80,7.9
2610,3,20581,0.036265,8.58e-05,0.0501,4.25,7.80,7.9
2620,3,20657,0.034421,8.57e-05,0.0377,4.25,7.80,7.9
2630,3,20733,0.051656,8.56e-05,0.0687,4.25,7.80,7.9
2640,3,20809,0.061193,8.55e-05,0.0529,4.25,7.80,7.9
2650,3,20885,0.032716,8.54e-05,0.0604,4.25,7.80,7.9
2660,3,20962,0.037685,8.52e-05,0.0474,4.25,7.80,7.9
2670,3,21052,0.045634,8.51e-05,0.0560,4.25,7.80,7.9
2680,3,21130,0.039633,8.50e-05,0.0709,4.25,7.80,7.9
2690,3,21227,0.034851,8.49e-05,0.0605,4.25,7.80,7.9
2700,3,21322,0.034392,8.48e-05,0.0465,4.25,7.80,7.9
2710,3,21423,0.031359,8.47e-05,0.0574,4.25,7.80,7.9
2720,3,21523,0.038273,8.46e-05,0.0375,4.25,7.80,7.9
2730,3,21622,0.044813,8.44e-05,0.0417,4.25,7.80,7.9
2740,3,21735,0.052114,8.43e-05,0.0501,4.25,7.80,7.9
2750,3,21878,0.041680,8.42e-05,0.0560,4.25,7.80,7.9
2760,3,22033,0.044187,8.41e-05,0.0782,4.25,7.80,8.0
2770,3,22172,0.056801,8.40e-05,0.0502,4.25,7.80,8.0
2780,4,22312,0.054841,8.39e-05,0.0398,4.25,7.80,8.0
2790,4,22427,0.035918,8.37e-05,0.0475,4.25,7.80,8.0
2800,4,22540,0.035796,8.36e-05,0.0616,4.25,7.80,8.0
2810,4,22653,0.043935,8.35e-05,0.0702,4.25,7.80,8.0
2820,4,22770,0.046517,8.34e-05,0.1535,4.25,7.80,8.1
2830,4,22883,0.041346,8.33e-05,0.0580,4.25,7.80,8.1
2840,4,22997,0.053724,8.31e-05,0.0838,4.25,7.80,8.1
2850,4,23112,0.049683,8.30e-05,0.0857,4.25,7.80,8.1
2860,4,23226,0.037242,8.29e-05,0.0547,4.25,7.80,8.1
2870,4,23360,0.054063,8.28e-05,0.1237,4.25,7.80,8.1
2880,4,23496,0.044168,8.27e-05,0.0651,4.25,7.80,8.1
2890,4,23646,0.036004,8.25e-05,0.0508,4.25,7.80,8.2
2900,4,23759,0.041973,8.24e-05,0.0449,4.25,7.80,8.2
2910,4,23859,0.039988,8.23e-05,0.0572,4.25,7.80,8.2
2920,4,23962,0.032547,8.22e-05,0.0372,4.25,7.80,8.2
2930,4,24060,0.043447,8.20e-05,0.0585,4.25,7.80,8.2
2940,4,24156,0.039153,8.19e-05,0.0451,4.25,7.80,8.2
2950,4,24253,0.028975,8.18e-05,0.0289,4.25,7.80,8.2
2960,4,24348,0.034865,8.17e-05,0.0404,4.25,7.80,8.2
2970,4,24430,0.054599,8.15e-05,0.0397,4.25,7.80,8.2
2980,4,24514,0.046958,8.14e-05,0.0503,4.25,7.80,8.2
2990,4,24601,0.036118,8.13e-05,0.0369,4.25,7.80,8.2
3000,4,24685,0.034502,8.12e-05,0.0477,4.25,7.80,8.2
3010,4,24787,0.034013,8.10e-05,0.0375,4.25,7.80,8.2
3020,4,24887,0.047592,8.09e-05,0.0766,4.25,7.80,8.2
3030,4,24986,0.043238,8.08e-05,0.0485,4.25,7.80,8.2
3040,4,25065,0.031327,8.07e-05,0.0397,4.25,7.80,8.2
3050,4,25149,0.044286,8.05e-05,0.0493,4.25,7.80,8.2
3060,4,25235,0.029881,8.04e-05,0.0347,4.25,7.80,8.2
3070,4,25319,0.039087,8.03e-05,0.0405,4.25,7.80,8.2
3080,4,25408,0.028424,8.02e-05,0.0335,4.25,7.80,8.2
3090,4,25492,0.045614,8.00e-05,0.0703,4.25,7.80,8.2
3100,4,25575,0.041509,7.99e-05,0.0487,4.25,7.80,8.2
3110,4,25657,0.045306,7.98e-05,0.0668,4.25,7.80,8.2
3120,4,25735,0.035566,7.96e-05,0.0403,4.25,7.80,8.2
3130,4,25821,0.044574,7.95e-05,0.0603,4.25,7.80,8.2
3140,4,25907,0.054988,7.94e-05,0.0951,4.25,7.80,8.2
3150,4,25988,0.037469,7.93e-05,0.0499,4.25,7.80,8.2
3160,4,26074,0.042072,7.91e-05,0.0464,4.25,7.80,8.2
3170,4,26161,0.039354,7.90e-05,0.2277,4.25,7.80,8.2
3180,4,26246,0.042842,7.89e-05,0.1336,4.25,7.80,8.2
3190,4,26329,0.047216,7.87e-05,0.1309,4.25,7.80,8.2
3200,4,26410,0.039445,7.86e-05,0.0554,4.25,7.80,8.2
3210,4,26491,0.034535,7.85e-05,0.0302,4.25,7.80,8.2
3220,4,26570,0.044843,7.83e-05,0.0563,4.25,7.80,8.2
3230,4,26663,0.058498,7.82e-05,0.1078,4.25,7.80,8.2
3240,4,26759,0.045364,7.81e-05,0.0796,4.25,7.80,8.2
3250,4,26861,0.035502,7.79e-05,0.0417,4.25,7.80,8.3
3260,4,26966,0.047793,7.78e-05,0.0616,4.25,7.80,8.3
3270,4,27080,0.043918,7.77e-05,0.0573,4.25,7.80,8.3
3280,4,27179,0.042395,7.75e-05,0.0714,4.25,7.80,8.3
3290,4,27279,0.044252,7.74e-05,0.0909,4.25,7.80,8.3
3300,4,27378,0.035628,7.73e-05,0.0512,4.25,7.80,8.3
3310,4,27486,0.044677,7.71e-05,0.0876,4.25,7.80,8.3
3320,4,27604,0.040558,7.70e-05,0.0562,4.25,7.80,8.3
3330,4,27706,0.053328,7.69e-05,0.1332,4.25,7.80,8.3
3340,4,27811,0.031163,7.67e-05,0.0254,4.25,7.80,8.3
3350,4,27916,0.076384,7.66e-05,0.1109,4.25,7.80,8.3
3360,4,28019,0.037512,7.65e-05,0.0499,4.25,7.80,8.3
3370,4,28120,0.036621,7.63e-05,0.0497,4.25,7.80,8.3
3380,4,28223,0.038924,7.62e-05,0.0781,4.25,7.80,8.3
3390,4,28325,0.034616,7.61e-05,0.0351,4.25,7.80,8.3
3400,4,28429,0.038910,7.59e-05,0.0657,4.25,7.80,8.3
3410,4,28530,0.065747,7.58e-05,0.0448,4.25,7.80,8.4
